ID,Listing Name,Host ID,Host Name,Borough,Neighborhood,Latitude,Longitude,Room Type,Price,Min Nights,Number of Reviews,Last Review,Reviews Per Month,Listings Per Host,Days Available
815381,Astor Townhouse Second Bedroom,256161,Wayne,Manhattan,Harlem,40.81120737,-73.94303846,Private room,85,4,22,14/05/2015,0.9,10,346
6126702,Duplex apt with terrace in SOHO,4522729,Arslan,Manhattan,SoHo,40.72531951,-74.00266397,Entire home/apt,450,4,0,,,1,362
229965,Stunning Penthouse Duplex w/Terrace,709334,Julie,Manhattan,Harlem,40.80543041,-73.9463348,Entire home/apt,295,2,21,18/05/2015,0.5,3,266
754319,Brand New Private Room in Queens!!,2118966,James,Queens,Elmhurst,40.74046097,-73.87389401,Private room,44,3,36,9/05/2015,1.2,2,300
6253431,QUEENSIZE BEDROOM WITH WASHER,32164832,Olga,Brooklyn,Prospect-Lefferts Gardens,40.65711162,-73.95434111,Private room,39,1,3,18/05/2015,3,4,353
1082849,APT w/Private Backyard in Manhattan,5755982,Mark,Manhattan,Harlem,40.80901889,-73.94637519,Entire home/apt,165,2,32,23/04/2015,1.3,1,365
2066003,Sunny & Cozy Williamsburg Apartment,2582893,Adriana,Brooklyn,Williamsburg,40.71510145,-73.93951976,Entire home/apt,195,1,2,14/10/2014,0.2,1,357
231154,Bargain Space,27848,Jullett,Queens,Jamaica,40.67238185,-73.76583291,Private room,49,2,22,17/05/2015,0.5,7,337
1017669,Gorgeous 1BR in Heart of BK Heights,912107,Rachel,Brooklyn,Brooklyn Heights,40.69535789,-73.99293927,Entire home/apt,130,3,1,6/05/2013,0,1,39
953314,Brownstone In Midtown Manhattan,5175217,Balram,Manhattan,Kips Bay,40.74356186,-73.98176444,Entire home/apt,750,2,44,7/05/2015,1.7,1,255
232618,Incredible Furnish Bright Apt View,763420,Selma,Manhattan,East Harlem,40.79441631,-73.93433426,Entire home/apt,129,1,16,6/05/2015,0.9,1,274
1609672,"LARGE, BEST LOCATION MANHATTAN",5533135,Rodrigo,Manhattan,Hell's Kitchen,40.76463462,-73.98845283,Entire home/apt,199,3,10,7/05/2015,0.5,1,359
1515611,"AMAZING, HUGE NEW YORK LOFT!",8092548,Habib,Brooklyn,Clinton Hill,40.68638806,-73.96239661,Entire home/apt,189,5,18,23/05/2015,0.9,1,359
958434,PARK SLOPE GARDEN APT on 5th AVE!!!,5214145,Joseph,Brooklyn,Park Slope,40.67558367,-73.97670944,Entire home/apt,185,2,26,26/04/2015,1,1,303
4563401,impressive  midtown view,22885233,Peter,Manhattan,Hell's Kitchen,40.76574505,-73.99240954,Entire home/apt,195,1,0,,,1,176
369671,LUXURY 2BD/2BTH - HUGE PATIO,1863713,Nina,Manhattan,East Village,40.72899148,-73.97792001,Entire home/apt,549,1,24,23/05/2015,0.6,1,365
305211,Your Own 2 Br Apt Bedford and Grand,1570170,Kristina,Brooklyn,Williamsburg,40.71531733,-73.96063537,Entire home/apt,180,2,89,22/05/2015,2.5,1,231
4565734,Spacious 2 Bedroom + Study,54712,Nick,Brooklyn,Greenpoint,40.73350552,-73.9545852,Entire home/apt,215,3,0,,,2,152
6539404,Luxury 2Br/2Bath with concierge,18693716,Ali,Manhattan,Kips Bay,40.74288595,-73.9738736,Private room,160,7,0,,,1,332
570750,Fabulous Urban Retreat 2 bedrooms,2806561,Noemie,Brooklyn,Crown Heights,40.67178621,-73.93987526,Entire home/apt,175,1,90,28/05/2015,2.6,1,227
3848324,West Village apt - 2 Bedroom,11495251,(email hidden),Manhattan,West Village,40.73123404,-74.00428149,Entire home/apt,200,2,1,30/08/2014,0.1,1,0
2472243,"Huge Room Available in 1,800 sq ft.",12643087,Beth,Brooklyn,Flatbush,40.63677669,-73.9586102,Private room,100,1,0,,,1,365
6143742,QUIET PLACE TO STAY! BY THE BEACH,11346259,New,Brooklyn,Sea Gate,40.57496079,-74.00584117,Private room,60,1,0,,,1,362
2148192,Penthouse 2 bedroom duplex,10964360,Kerry,Manhattan,Chelsea,40.74211273,-73.99373711,Entire home/apt,3500,1,0,,,1,365
2021064,1 bedroom private room,10388060,Jamile,Queens,Jamaica,40.68354891,-73.8009071,Private room,125,1,0,,,1,365
6608981,sky room,27926672,Zemeta,Brooklyn,Sunset Park,40.66184409,-73.99127588,Private room,45,1,0,,,2,352
5167388,Perfect East Village Studio,1326648,Ben,Manhattan,East Village,40.7275039,-73.98823541,Entire home/apt,180,2,6,19/05/2015,1.7,1,117
3530395,1 BR in Great NYC Neighborhood,7665324,Edward,Manhattan,Nolita,40.72192518,-73.99370603,Entire home/apt,195,1,1,6/04/2015,0.5,2,288
517600,GORGEOUS 1bedrm Gramercy- No Share,2548188,John,Manhattan,Gramercy,40.73662766,-73.98321802,Entire home/apt,220,2,96,19/05/2015,2.7,1,310
1109092,Beautiful Park Slope 3bdrm Duplex,6088518,Evelyn,Brooklyn,Park Slope,40.66698087,-73.98162302,Entire home/apt,650,1,7,31/12/2014,0.4,1,288
1045491,Prime Williamsburg. Brand new ,1356046,Daniel & Daniela,Brooklyn,Williamsburg,40.71454097,-73.95070233,Private room,69,2,51,16/05/2015,2,2,303
1111854,GREAT CLEAN 1BR-TIMES SQ/MTWN WEST,1716532,Dallas,Manhattan,Hell's Kitchen,40.75842799,-73.99588464,Entire home/apt,145,3,56,25/05/2015,2.3,2,306
1506985,Garden Townhouse Duplex-2 bd/3 bth ,8049757,Omar,Manhattan,East Harlem,40.80108018,-73.94346464,Entire home/apt,185,1,14,19/05/2015,0.7,1,365
4586515,Bedroom in lofted Williamsburg apt ,2045230,Michael,Brooklyn,Williamsburg,40.71547199,-73.96107392,Private room,170,1,0,,,1,172
